
gramos;edad
256;11
278;6
336;9
395;6
128;4
366;9
242;11
209;4
40;11
345;4
13;10
150;10
389;10
417;11
329;10
412;6
202;6
250;11
40;7
384;4
49;5
177;8
407;8
310;9
120;10
316;10
216;4
26;9
37;11
37;6
37;5
37;4
37;11
37;7
37;8
37;6
37;9
37;6
37;4
37;10
37;5
37;9
37;9
37;10
37;10
37;7
37;4
37;7
37;8
37;10
37;7
37;9
37;11
37;11
37;8
37;9
37;5
37;4
37;6
37;9
37;6
37;6
37;11
37;10
37;10
37;10
37;6
37;6
37;9
37;9
37;5
37;9
37;8
37;10
37;8
37;11
37;5
37;4
37;9
37;11
37;4
37;7
37;4
37;10
37;8
37;4
37;11
37;10
37;11
37;10
37;5
37;6
37;5
37;7
37;9
37;4
37;6
37;8
37;8
37;4
37;5
37;7
37;4
37;5
37;10
37;11
37;8
37;10
37;4
37;5
37;9
37;8
37;7
37;10
37;6
37;8
37;5
37;8
190;6
28;5
33;4
87;6
60;11
197;11
74;11
138;6
87;9
97;5
100;7
252;6
0;10
105;11
366;7
314;10
414;11
149;5
197;5
139;7
260;10
260;9
260;8
260;6
260;11
260;4
260;4
260;8
260;6
260;5
260;5
260;8
260;5
260;6
260;10
260;10
260;7
260;5
260;10
260;5
260;9
260;11
260;10
260;10
260;10
260;7
260;4
260;10
260;9
260;10
260;9
260;11
260;10
260;4
260;9
260;4
260;6
260;4
260;8
260;11
260;4
260;11
260;5
260;9
260;10
260;9
260;11
260;6
260;6
260;4
260;8
260;6
260;5
260;11
260;8
260;5
260;5
260;5
260;10
260;11
260;10
260;6
260;5
260;11
260;7
260;11
260;5
260;4
260;6
260;10
260;4
260;9
260;10
260;7
260;4
260;7
260;4
260;7
260;4
260;11
260;10
260;8
260;6
260;4
260;9
260;4
260;4
260;7
260;10
260;8
260;8
260;7
260;7
260;5
260;7
260;9
260;10
260;6
260;7
260;9
260;10
260;6
260;11
260;5
260;11
260;10
260;9
260;8
260;8
260;5
260;8
260;6
260;7
260;7
260;7
260;10
260;9
260;9
260;7
260;8
260;5
260;5
260;11
260;8
260;9
260;11
260;9
260;7
260;9
260;5
260;6
260;9
260;9
260;7
260;9
260;7
260;8
260;10
260;4
260;6
260;7
260;11
260;11
260;10
260;10
260;11
260;8
260;4
260;11
260;4
260;7
260;10
260;10
260;8
260;5
260;7
260;6
260;9
260;4
162;4
312;10
233;6
213;10
415;6
63;8
95;6
223;4
223;7
223;5
223;6
223;11
223;9
223;6
223;11
223;8
223;4
223;10
223;7
223;10
223;8
223;11
223;11
223;5
223;10
223;9
223;7
223;5
223;6
223;6
223;4
223;9
223;7
223;9
223;4
210;9
0;10
410;9
222;5
319;5
162;9
191;7
141;7
361;4
319;11
338;8
49;4
299;10
410;9
60;11
171;10
373;5
412;6
37;4
75;5
135;6
319;8
48;9
198;6
174;8
166;8
305;6
230;5
234;11
305;9
98;9
250;6
285;10
6;10
395;7
98;11
414;11
275;7
258;7
103;11
182;6
245;4
252;4
308;10
150;6
131;7
269;5
62;7
82;4
346;7
201;7
184;10
61;9
178;4
231;10
25;6
0;10
394;8
295;5
139;11
201;10
371;9
41;5
63;8
218;7
256;6
161;6
44;6
84;5
175;7
83;9
159;7
313;7
97;7
319;9
98;5
400;7
166;9
0;4
311;10
297;6
308;4
354;8
300;4
157;5
164;8
361;9
318;11
169;8
180;11
55;5
379;10
380;11
0;11
374;4
183;4
261;11
180;7
81;6
210;8
19;4
293;6
126;7
102;10
294;10
348;7
309;6
188;8
157;11
116;9
317;7
0;5
85;6
408;7
129;5
389;5
176;5
400;5
190;11
224;8
107;10
40;11
160;5
154;5
192;8
0;10
0;8
355;9
321;8
359;10
115;9
197;11
60;7
75;4
133;5
7;4
45;4
265;5
240;11
255;8
191;8
357;11
0;9
0;4
385;4
377;4
388;8
225;5
266;7
234;8
231;9
275;8
193;9
246;7
398;7
398;10
245;7
334;10
23;8
244;10
0;6
220;4
140;9
43;8
145;11
427;11
388;4
199;9
